text_asr,text_translated,intent,language,full_audio_path
hi can you please can I please get assistance with my card that I require help for read it as my payment had been acquired,hi can you please can I please get assistance with my card that I require help for read it as my payment had been acquired,6,en-AU,MInDS-14\audio\en-AU~CARD_ISSUES/response_42.wav
I need to make a payment,I need to make a payment,13,en-GB,MInDS-14\audio\en-GB~PAY_BILL/60268e67dc3604f481bcb7c5.wav
show me my latest transaction,show me my latest transaction,12,en-AU,MInDS-14\audio\en-AU~LATEST_TRANSACTIONS/response_1.wav
why isn't my card working,why isn't my card working,6,en-US,MInDS-14\audio\en-US~CARD_ISSUES/602ba4e505f96973d6794434.wav
is there any way to find out what my maximum amount of withdrawal is a day at the ATM,is there any way to find out what my maximum amount of withdrawal is a day at the ATM,3,en-GB,MInDS-14\audio\en-GB~ATM_LIMIT/60268bf0c7abb7f832138945.wav
how can I deposit cash to my account,how can I deposit cash to my account,7,en-US,MInDS-14\audio\en-US~CASH_DEPOSIT/602ba557bb1e6d0fbce92064.wav
I'm travelling to America and ID like to use my card over there,I'm travelling to America and ID like to use my card over there,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CA5c9378c6c70d7b37ae18aa8b52c5d588_2.wav
hello yes I would like to make a payment,hello yes I would like to make a payment,13,en-US,MInDS-14\audio\en-US~PAY_BILL/602baedc5f67b421554f64c5.wav
hi I'm just wondering how I transfer money to my account please,hi I'm just wondering how I transfer money to my account please,7,en-GB,MInDS-14\audio\en-GB~CASH_DEPOSIT/60269130c7abb7f832138e29.wav
is the app not working I can't access my account,is the app not working I can't access my account,2,en-US,MInDS-14\audio\en-US~APP_ERROR/602ba45705f96973d679442b.wav
card like to freeze my card in a for transaction Bank,card like to freeze my card in a for transaction Bank,9,en-AU,MInDS-14\audio\en-AU~FREEZE/response_11.wav
how to set up a joint account,how to set up a joint account,11,en-US,MInDS-14\audio\en-US~JOINT_ACCOUNT/602bafa0bb1e6d0fbce922c7.wav
account balance,account balance,4,en-AU,MInDS-14\audio\en-AU~BALANCE/response_19.wav
hello can you please freeze my card,hello can you please freeze my card,9,en-AU,MInDS-14\audio\en-AU~FREEZE/response_29.wav
I have a question about direct debits,I have a question about direct debits,8,en-GB,MInDS-14\audio\en-GB~DIRECT_DEBIT/60268f9fc7abb7f832138ce4.wav
I was hoping to find out what the maximum withdrawal limit is on getting money out of my debit card from an ATM,I was hoping to find out what the maximum withdrawal limit is on getting money out of my debit card from an ATM,3,en-AU,MInDS-14\audio\en-AU~ATM_LIMIT/response_34.wav
can I use my card in Japan,can I use my card in Japan,0,en-US,MInDS-14\audio\en-US~ABROAD/602baae8963e11ccd901cd79.wav
I need to get money out tomorrow and I'm just wondering what's the maximum I can withdraw from my account thanks,I need to get money out tomorrow and I'm just wondering what's the maximum I can withdraw from my account thanks,3,en-AU,MInDS-14\audio\en-AU~ATM_LIMIT/response_5.wav
