filepath,text_asr,text_translated,intent,language,full_audio_path
en-AU~PAY_BILL/response_3.wav,good afternoon look I've got my credit card bill due in statements come in and I just like to make a payment on that thank you,good afternoon look I've got my credit card bill due in statements come in and I just like to make a payment on that thank you,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_3.wav
en-AU~PAY_BILL/response_1.wav,I have to pay a bill,I have to pay a bill,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_1.wav
en-AU~PAY_BILL/response_12.wav,hello ID like to make a payment for a bill it's due and a couple of days can you walk me through the steps of how to do that thank you,hello ID like to make a payment for a bill it's due and a couple of days can you walk me through the steps of how to do that thank you,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_12.wav
en-AU~PAY_BILL/response_13.wav,I need to pay bill ID like to do it on my credit card can you tell me how,I need to pay bill ID like to do it on my credit card can you tell me how,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_13.wav
en-AU~PAY_BILL/response_48.wav,make payment,make payment,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_48.wav
en-AU~PAY_BILL/response_49.wav,I would like to make a payment,I would like to make a payment,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_49.wav
en-AU~PAY_BILL/CAd5ed736dfa950bdf92966ff6ce83214f_3.wav,I have a builder Bay and I'm running late for my payment,I have a builder Bay and I'm running late for my payment,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/CAd5ed736dfa950bdf92966ff6ce83214f_3.wav
en-AU~PAY_BILL/response_40.wav,I want to pay my credit card bill,I want to pay my credit card bill,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_40.wav
en-AU~PAY_BILL/response_42.wav,I've just received my credit card bill and I don't understand how you pay it can you help me,I've just received my credit card bill and I don't understand how you pay it can you help me,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_42.wav
en-AU~PAY_BILL/response_43.wav,I've just received my gas bill and ID like to know how to pay using my internet banking are you able to assist,I've just received my gas bill and ID like to know how to pay using my internet banking are you able to assist,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_43.wav
en-AU~PAY_BILL/response_47.wav,I need to pay a bill ID like to make payment,I need to pay a bill ID like to make payment,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_47.wav
en-AU~PAY_BILL/response_46.wav,hi there I'm going to pay off my credit card bill,hi there I'm going to pay off my credit card bill,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_46.wav
en-AU~PAY_BILL/response_44.wav,yes ID like to pay my bill today using a credit card,yes ID like to pay my bill today using a credit card,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_44.wav
en-AU~PAY_BILL/response_50.wav,ID like to pay bill,ID like to pay bill,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_50.wav
en-AU~PAY_BILL/response_45.wav,hi I'm just wanting to make a payment can you help me about please,hi I'm just wanting to make a payment can you help me about please,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_45.wav
en-AU~PAY_BILL/response_22.wav,bill payment,bill payment,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_22.wav
en-AU~PAY_BILL/response_36.wav,hi just calling about paying a bill ID like to make it id like to make a payment please,hi just calling about paying a bill ID like to make it id like to make a payment please,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_36.wav
en-AU~PAY_BILL/CA3e8c11415b9eb431d83f5bc497d98626_4.wav,I need to make a payment an overdue payment,I need to make a payment an overdue payment,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/CA3e8c11415b9eb431d83f5bc497d98626_4.wav
en-AU~PAY_BILL/response_37.wav,I need to pay the bill for my savings account,I need to pay the bill for my savings account,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_37.wav
en-AU~PAY_BILL/response_23.wav,I have a bill to pay in GBP can I make a payment,I have a bill to pay in GBP can I make a payment,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_23.wav
en-AU~PAY_BILL/response_35.wav,I have a bill to pay can I please make a payment for that bill thank you,I have a bill to pay can I please make a payment for that bill thank you,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_35.wav
en-AU~PAY_BILL/response_21.wav,make a bill payment,make a bill payment,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_21.wav
en-AU~PAY_BILL/response_20.wav,yes good morning I would just like to make a payment from my credit card basically just for electricity bill on this page to help me process that transaction I don't like paying online first I like to bring up in processing,yes good morning I would just like to make a payment from my credit card basically just for electricity bill on this page to help me process that transaction I don't like paying online first I like to bring up in processing,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_20.wav
en-AU~PAY_BILL/response_18.wav,double bit stew and I won't know how I can make this payment,double bit stew and I won't know how I can make this payment,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_18.wav
en-AU~PAY_BILL/response_30.wav,hey mate calling about my bill that stew I want to pay it can I do that over the phone thank you,hey mate calling about my bill that stew I want to pay it can I do that over the phone thank you,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_30.wav
en-AU~PAY_BILL/response_24.wav,I want to pay one of my bills,I want to pay one of my bills,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_24.wav
en-AU~PAY_BILL/response_25.wav,hi just calling about a bill I have to make payment on,hi just calling about a bill I have to make payment on,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_25.wav
en-AU~PAY_BILL/response_31.wav,I want to pay a bill,I want to pay a bill,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_31.wav
en-AU~PAY_BILL/response_19.wav,I would like to pay my credit card bill please,I would like to pay my credit card bill please,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_19.wav
en-AU~PAY_BILL/response_8.wav,hi ID like to make a payment with my bank account,hi ID like to make a payment with my bank account,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_8.wav
en-AU~PAY_BILL/response_27.wav,good afternoon I am wishing to pay a bill over the phone I was just wondering how I go about 200 as I have an urgent payment to Meek,good afternoon I am wishing to pay a bill over the phone I was just wondering how I go about 200 as I have an urgent payment to Meek,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_27.wav
en-AU~PAY_BILL/response_33.wav,just wanted to pay a bill,just wanted to pay a bill,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_33.wav
en-AU~PAY_BILL/response_32.wav,I need to make a payment on my credit card bill,I need to make a payment on my credit card bill,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_32.wav
en-AU~PAY_BILL/response_9.wav,ID like to pay my credit card bill,ID like to pay my credit card bill,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_9.wav
en-AU~FREEZE/response_4.wav,hello my car has been stolen ID like to put a hold on all transactions,hello my car has been stolen ID like to put a hold on all transactions,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_4.wav
en-AU~FREEZE/response_17.wav,I would like to stop all transactions and freeze my credit card,I would like to stop all transactions and freeze my credit card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_17.wav
en-AU~FREEZE/response_16.wav,n I prove my card on the internet,n I prove my card on the internet,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_16.wav
en-AU~FREEZE/response_5.wav,could you please put a freeze on my card,could you please put a freeze on my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_5.wav
en-AU~FREEZE/response_7.wav,I want to stop all future transaction from taking place freeze my card,I want to stop all future transaction from taking place freeze my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_7.wav
en-AU~FREEZE/response_14.wav,a s good morning I just want to put a block on my ATM card at the moment please,a s good morning I just want to put a block on my ATM card at the moment please,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_14.wav
en-AU~FREEZE/response_28.wav,please freeze my card,please freeze my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_28.wav
en-AU~FREEZE/response_29.wav,hello can you please freeze my card,hello can you please freeze my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_29.wav
en-AU~FREEZE/response_15.wav,hello I would like to freeze all transactions on my car as of right now is that possible I feel I've lost my car recently and I'm not entirely sure where all her might have it,hello I would like to freeze all transactions on my car as of right now is that possible I feel I've lost my car recently and I'm not entirely sure where all her might have it,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_15.wav
en-AU~FREEZE/response_2.wav,stop all transactions on my card,stop all transactions on my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_2.wav
en-AU~FREEZE/response_39.wav,I took all my transaction on my card,I took all my transaction on my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_39.wav
en-AU~FREEZE/response_11.wav,card like to freeze my card in a for transaction Bank,card like to freeze my card in a for transaction Bank,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_11.wav
en-AU~FREEZE/response_10.wav,hi I'm just calling because ID like to freeze all transactions on my,hi I'm just calling because ID like to freeze all transactions on my,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_10.wav
en-AU~FREEZE/response_38.wav,I don't want any more transaction I like hard please,I don't want any more transaction I like hard please,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_38.wav
en-AU~FREEZE/response_3.wav,I would like to freeze my card can you please freeze my can't thanks,I would like to freeze my card can you please freeze my can't thanks,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_3.wav
en-AU~FREEZE/response_1.wav,yes good afternoon look at like to stop all transactions on my car off reason it's been stolen and it is point if further and no more transactions are on the card thank you,yes good afternoon look at like to stop all transactions on my car off reason it's been stolen and it is point if further and no more transactions are on the card thank you,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_1.wav
en-AU~FREEZE/response_12.wav,I've lost my card no just like to stop I'll put a freezer in it thanks,I've lost my card no just like to stop I'll put a freezer in it thanks,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_12.wav
en-AU~FREEZE/response_13.wav,please put a stop on my card,please put a stop on my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_13.wav
en-AU~FREEZE/response_48.wav,hi there I can you please freeze my account,hi there I can you please freeze my account,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_48.wav
en-AU~FREEZE/response_49.wav,hi I'm calling up but ID like to you freeze my card,hi I'm calling up but ID like to you freeze my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_49.wav
en-AU~FREEZE/CAae288612d2dbea5500636635fdb04706_1.wav,I just like to freeze my credit card stop all the transaction and coming off,I just like to freeze my credit card stop all the transaction and coming off,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/CAae288612d2dbea5500636635fdb04706_1.wav
en-AU~FREEZE/response_41.wav,I have noticed suspicious activity on my credit card how can I freeze my card so they can't take any more money,I have noticed suspicious activity on my credit card how can I freeze my card so they can't take any more money,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_41.wav
en-AU~FREEZE/response_40.wav,please block all transactions on my credit card,please block all transactions on my credit card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_40.wav
en-AU~FREEZE/response_43.wav,ID like to block my card from using any transaction,ID like to block my card from using any transaction,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_43.wav
en-AU~FREEZE/response_47.wav,please block my card,please block my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_47.wav
en-AU~FREEZE/response_46.wav,I need to freeze my car because I've misplaced it,I need to freeze my car because I've misplaced it,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_46.wav
en-AU~FREEZE/CAc91a9d0a6fbb396be917a4e09aa1f5d4_1.wav,stop all transactions on my card,stop all transactions on my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/CAc91a9d0a6fbb396be917a4e09aa1f5d4_1.wav
en-AU~FREEZE/response_44.wav,hi can you please block my card I want my card Frozen,hi can you please block my card I want my card Frozen,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_44.wav
en-AU~FREEZE/response_50.wav,stop all transactions on my card,stop all transactions on my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_50.wav
en-AU~FREEZE/response_45.wav,clip to stop all the transaction on my card I just lost it so I need to freeze my card and put a block on any transactions over the last 24 hours as I lost my card and it needs to be this big locked,clip to stop all the transaction on my card I just lost it so I need to freeze my card and put a block on any transactions over the last 24 hours as I lost my card and it needs to be this big locked,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_45.wav
en-AU~FREEZE/response_36.wav,I am calling because I want to freeze my card on a block all future purchases please,I am calling because I want to freeze my card on a block all future purchases please,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_36.wav
en-AU~FREEZE/response_37.wav,please put a stop to any transaction on my car,please put a stop to any transaction on my car,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_37.wav
en-AU~FREEZE/response_23.wav,please freeze my card,please freeze my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_23.wav
en-AU~FREEZE/response_35.wav,I believe my car has been stolen please freeze my card,I believe my car has been stolen please freeze my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_35.wav
en-AU~FREEZE/response_21.wav,hi I want to stop all transactions going out of my account please about the account Frozen as soon as possible,hi I want to stop all transactions going out of my account please about the account Frozen as soon as possible,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_21.wav
en-AU~FREEZE/response_34.wav,I need to freeze my card,I need to freeze my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_34.wav
en-AU~FREEZE/response_18.wav,can you freeze my cards for me,can you freeze my cards for me,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_18.wav
en-AU~FREEZE/response_30.wav,I want to freeze my card,I want to freeze my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_30.wav
en-AU~FREEZE/CA054d77eb09797f74bad48e0581c5f81b_1.wav,freeze my card,freeze my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/CA054d77eb09797f74bad48e0581c5f81b_1.wav
en-AU~FREEZE/response_25.wav,I lost my car today I'm ID like to freeze my car so that there are no unexpected transaction,I lost my car today I'm ID like to freeze my car so that there are no unexpected transaction,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_25.wav
en-AU~FREEZE/response_31.wav,hey mate I'm on lock my cardos lost my card so I need the freezer to stop all transactions can you please do that for me,hey mate I'm on lock my cardos lost my card so I need the freezer to stop all transactions can you please do that for me,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_31.wav
en-AU~FREEZE/response_19.wav,I want to put a temporary freeze on my card please,I want to put a temporary freeze on my card please,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_19.wav
en-AU~FREEZE/response_8.wav,I like to enquire about cancelling also freezing all transactions on my account on my card thanks you can help,I like to enquire about cancelling also freezing all transactions on my account on my card thanks you can help,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_8.wav
en-AU~FREEZE/response_27.wav,hey mate I'm just at the pub last night and look I've lost my card there's been no transaction on it so far but I just really need it frozen as soon as possible if you do that for me you'd be a bloody legend thank you so much,hey mate I'm just at the pub last night and look I've lost my card there's been no transaction on it so far but I just really need it frozen as soon as possible if you do that for me you'd be a bloody legend thank you so much,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_27.wav
en-AU~FREEZE/response_33.wav,I need some help to freeze my card,I need some help to freeze my card,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_33.wav
en-AU~FREEZE/response_26.wav,lock card immediately,lock card immediately,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_26.wav
en-AU~FREEZE/response_9.wav,oh hi there I've just discovered that my card has gone missing and ID like to freeze my car so that no transaction connect her can you help me help me with that please thanks,oh hi there I've just discovered that my card has gone missing and ID like to freeze my car so that no transaction connect her can you help me help me with that please thanks,FREEZE,en-AU,MInDS-14\audio\en-AU~FREEZE/response_9.wav
en-AU~APP_ERROR/response_4.wav,the after start load the app does not load my new account balance is is that the app is being serviced and now I cannot access my account,the after start load the app does not load my new account balance is is that the app is being serviced and now I cannot access my account,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_4.wav
en-AU~APP_ERROR/response_17.wav,log into reason around materials keep getting me down,log into reason around materials keep getting me down,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_17.wav
en-AU~APP_ERROR/response_5.wav,the App isn't loading properly it is not loading my new account balance,the App isn't loading properly it is not loading my new account balance,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_5.wav
en-AU~APP_ERROR/response_14.wav,hi I don't think my apps working properly,hi I don't think my apps working properly,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_14.wav
en-AU~APP_ERROR/response_28.wav,I'm trying to use the new app but the app does not load it keeps freezing,I'm trying to use the new app but the app does not load it keeps freezing,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_28.wav
en-AU~APP_ERROR/response_29.wav,the app does not load and it is not working for me can you please help,the app does not load and it is not working for me can you please help,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_29.wav
en-AU~APP_ERROR/response_15.wav,the app keep crashing everytime I try to open it,the app keep crashing everytime I try to open it,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_15.wav
en-AU~APP_ERROR/response_6.wav,hi there I'm having a bit of an issue with the app it doesn't seem to be loading my new account balance just wanted you can help me please,hi there I'm having a bit of an issue with the app it doesn't seem to be loading my new account balance just wanted you can help me please,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_6.wav
en-AU~APP_ERROR/response_2.wav,the App isn't working,the App isn't working,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_2.wav
en-AU~APP_ERROR/response_39.wav,the app does not worried,the app does not worried,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_39.wav
en-AU~APP_ERROR/response_11.wav,I'm having trouble making transfers on the app,I'm having trouble making transfers on the app,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_11.wav
en-AU~APP_ERROR/response_10.wav,hello I need some help with the mobile app I've tried to login as giving me an error code,hello I need some help with the mobile app I've tried to login as giving me an error code,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_10.wav
en-AU~APP_ERROR/response_38.wav,yeah g'day mate I moment some kind of problem with the app it's not loading my account balance just trying to figure out what's going on thanks,yeah g'day mate I moment some kind of problem with the app it's not loading my account balance just trying to figure out what's going on thanks,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_38.wav
en-AU~APP_ERROR/response_3.wav,I'm having difficulties loading my account from the app,I'm having difficulties loading my account from the app,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_3.wav
en-AU~APP_ERROR/response_1.wav,hi my name is Brayden and I was just using recently using the application on my phone and noticed that the App isn't loading at the moment I can't load or something about my account information so I was just wondering if the app is being serviced or if it's down at the moment or what the problem was,hi my name is Brayden and I was just using recently using the application on my phone and noticed that the App isn't loading at the moment I can't load or something about my account information so I was just wondering if the app is being serviced or if it's down at the moment or what the problem was,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_1.wav
en-AU~APP_ERROR/CAd61bce922a6867e8a093cf867e42cdda_1.wav,hi there I'm just calling to say that the app doesn't work,hi there I'm just calling to say that the app doesn't work,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/CAd61bce922a6867e8a093cf867e42cdda_1.wav
en-AU~APP_ERROR/response_12.wav,the app for my bank is not working at the moment how can I access my money,the app for my bank is not working at the moment how can I access my money,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_12.wav
en-AU~APP_ERROR/response_48.wav,I deactivate not load for my account,I deactivate not load for my account,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_48.wav
en-AU~APP_ERROR/response_49.wav,we're having issues with the online banking app I'm not sure what's wrong with but when I try to login it keeps crashing so what I've done is I've deleted it and we installed it but it still does the same thing and it's not working is there any way that you can call me back and assist me thank you,we're having issues with the online banking app I'm not sure what's wrong with but when I try to login it keeps crashing so what I've done is I've deleted it and we installed it but it still does the same thing and it's not working is there any way that you can call me back and assist me thank you,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_49.wav
en-AU~APP_ERROR/response_41.wav,hi I'm trying to access my account but the App isn't working,hi I'm trying to access my account but the App isn't working,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_41.wav
en-AU~APP_ERROR/response_40.wav,hi I'm just calling because I'm having a bit of an issue with the bank app it doesn't seem to be working properly I'm not really sure what to do next,hi I'm just calling because I'm having a bit of an issue with the bank app it doesn't seem to be working properly I'm not really sure what to do next,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_40.wav
en-AU~APP_ERROR/response_42.wav,hi I'm using your app and is not working right now I can't get it to access my account,hi I'm using your app and is not working right now I can't get it to access my account,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_42.wav
en-AU~APP_ERROR/response_43.wav,I downloaded the app and the app doesn't seem to be working with my current phone so I was wondering if there's any other way I can access me information without the app that would be good because I just can't get it to work,I downloaded the app and the app doesn't seem to be working with my current phone so I was wondering if there's any other way I can access me information without the app that would be good because I just can't get it to work,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_43.wav
en-AU~APP_ERROR/response_47.wav,hi so I downloaded the phone app for your bank and it's not working like I go to sign in and it freezes and tells me that my password is incorrect and then the past at the app will force shut itself,hi so I downloaded the phone app for your bank and it's not working like I go to sign in and it freezes and tells me that my password is incorrect and then the past at the app will force shut itself,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_47.wav
en-AU~APP_ERROR/response_46.wav,I updated the app now crashes when I try and open it,I updated the app now crashes when I try and open it,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_46.wav
en-AU~APP_ERROR/response_44.wav,hi I'm trying to use the app but it won't load my account balance I'm able to use it,hi I'm trying to use the app but it won't load my account balance I'm able to use it,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_44.wav
en-AU~APP_ERROR/CAf10393a2b5dab4feca585e7e0faf92a0_2.wav,so I'm trying to use an app and for the backup and the app is not working properly it's not working on my phone and then I don't know why,so I'm trying to use an app and for the backup and the app is not working properly it's not working on my phone and then I don't know why,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/CAf10393a2b5dab4feca585e7e0faf92a0_2.wav
en-AU~APP_ERROR/response_36.wav,help with your Android app I can't get into it at all it just shows me a error as soon as I open the app,help with your Android app I can't get into it at all it just shows me a error as soon as I open the app,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_36.wav
en-AU~APP_ERROR/response_23.wav,my Atlas is to login,my Atlas is to login,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_23.wav
en-AU~APP_ERROR/response_35.wav,hi there I'm just calling in regards to your app not working it says that the app is being serviced and now I can access my account,hi there I'm just calling in regards to your app not working it says that the app is being serviced and now I can access my account,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_35.wav
en-AU~APP_ERROR/response_21.wav,the app for my bank account is not loading,the app for my bank account is not loading,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_21.wav
en-AU~APP_ERROR/response_20.wav,tickle and let you know the apps not working with not let me with my new account balance,tickle and let you know the apps not working with not let me with my new account balance,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_20.wav
en-AU~APP_ERROR/response_34.wav,the App isn't working even when I refresh it not loading,the App isn't working even when I refresh it not loading,APP_ERROR,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_34.wav
